1,498,604,1
2,517,594,1
3,541,574,1
4,555,587,1
5,572,537,1
6,600,553,1
7,621,482,1
8,632,539,1
9,656,476,1
10,653,554,1
11,679,516,1
12,688,524,1
13,684,450,1
14,699,512,1
15,703,505,1
16,717,377,1
17,740,377,1
18,749,501,1
19,756,492,1
20,752,381,1
21,762,508,1
22,781,474,1
23,781,480,1
24,804,460,1
25,828,346,1
26,830,366,1
27,864,344,1
28,882,403,1
29,891,338,1
30,921,362,1
31,941,301,1
32,965,336,1
33,976,297,1
34,994,287,1
35,501,463,0
36,526,443,0
37,536,412,0
38,564,394,0
39,584,398,0
40,602,398,0
41,610,428,0
42,638,389,0
43,652,394,0
44,659,336,0
45,662,364,0
46,672,308,0
47,691,248,0
48,694,401,0
49,718,313,0
50,720,410,0
51,723,389,0
52,744,227,0
53,741,397,0
54,770,200,0
55,764,370,0
56,790,248,0
57,786,344,0
58,792,290,0
59,818,268,0
60,845,232,0
61,867,195,0
62,878,168,0
63,895,218,0
64,916,221,0
65,950,156,0
66,956,174,0
67,973,134,0
68,1002,121,0
